transaction_volume,payment_failure_rate,rto_rate,refund_rate,chargeback_rate,cod_percentage,average_transaction_value,risk_score,risk_level
30,6.67,3.33,0,0,36.67,6264.8,8,healthy
30,6.67,3.33,0,0,33.33,6407.47,8,healthy
30,6.67,3.33,0,0,33.33,6257.13,8,healthy
30,6.67,3.33,0,0,33.33,6271.1,8,healthy
30,6.67,3.33,0,0,33.33,6288.93,8,healthy
30,6.67,6.67,0,0,33.33,6249.9,8,healthy
30,6.67,6.67,0,0,33.33,6449.9,8,healthy
30,6.67,3.33,0,0,36.67,6220.63,8,healthy
30,6.67,3.33,0,0,36.67,6035.93,8,healthy
30,6.67,3.33,0,0,36.67,5920.5,8,healthy
30,6.67,3.33,0,0,36.67,5888.23,8,healthy
30,6.67,3.33,0,0,36.67,5814.13,8,healthy
30,6.67,3.33,0,0,36.67,5583.83,8,healthy
30,6.67,3.33,0,0,36.67,5548.33,8,healthy
30,6.67,3.33,0,0,33.33,5761.3,8,healthy
30,6.67,3.33,0,0,33.33,5777.4,8,healthy
30,6.67,3.33,0,0,30,5629.2,8,healthy
30,6.67,3.33,0,0,33.33,5565.1,8,healthy
30,6.67,3.33,0,0,36.67,5391.2,8,healthy
30,3.33,3.33,0,0,36.67,5344.97,0,healthy
30,3.33,3.33,0,0,36.67,5408.93,0,healthy
30,3.33,3.33,0,0,36.67,5501.1,0,healthy
30,3.33,3.33,0,0,36.67,5488.5,0,healthy
30,3.33,3.33,0,0,36.67,5452.83,0,healthy
30,3.33,3.33,0,0,40,5710.53,0,healthy
30,3.33,3.33,0,0,40,5856.57,0,healthy
30,3.33,3.33,0,0,36.67,5878.23,0,healthy
30,3.33,3.33,0,0,36.67,5847.47,0,healthy
30,0,3.33,0,0,36.67,5841.13,0,healthy
30,0,3.33,0,0,36.67,5733.9,0,healthy
30,0,3.33,0,0,36.67,5579,0,healthy
30,0,3.33,0,0,40,5521.27,0,healthy
30,0,3.33,0,0,43.33,5632.83,0,healthy
30,0,3.33,0,0,46.67,5704.33,0,healthy
30,0,3.33,0,0,46.67,5540.67,0,healthy
30,0,0,0,0,46.67,5574.87,0,healthy
30,0,0,0,0,46.67,5569.77,0,healthy
30,0,0,0,0,43.33,5638.47,0,healthy
30,0,0,0,0,43.33,5797.13,0,healthy
30,0,0,0,0,43.33,5803,0,healthy
30,0,0,0,0,40,5804.4,0,healthy
30,0,0,0,0,40,5990.6,0,healthy
30,0,0,0,0,43.33,6052.93,0,healthy
30,0,0,0,0,43.33,6044.03,0,healthy
30,0,0,0,0,43.33,6025.53,0,healthy
30,0,0,0,0,46.67,5789.6,0,healthy
30,0,0,0,0,50,5751.43,0,healthy
30,0,0,0,0,46.67,5807.87,0,healthy
30,0,0,0,0,46.67,5835.33,0,healthy
30,0,0,0,0,46.67,5788.4,0,healthy
30,0,0,0,0,50,5956.5,0,healthy
30,0,0,0,0,50,5881.93,0,healthy
30,0,0,0,0,46.67,5717.27,0,healthy
30,0,0,0,0,43.33,5809.57,0,healthy
30,0,0,0,0,43.33,5806.83,0,healthy
30,0,0,0,0,43.33,5611.5,0,healthy
30,0,0,0,0,46.67,5526.97,0,healthy
30,0,0,0,0,46.67,5612.9,0,healthy
30,0,0,0,0,46.67,5610.63,0,healthy
30,0,0,0,0,50,5521.9,0,healthy
30,0,0,0,0,50,5531.23,0,healthy
30,0,0,0,0,46.67,5439.6,0,healthy
30,0,0,0,0,43.33,5369.2,0,healthy
30,0,0,0,0,40,5316.7,0,healthy
30,0,0,0,0,40,5490.9,0,healthy
30,0,0,0,0,43.33,5658.9,0,healthy
30,0,0,0,0,43.33,5530.47,0,healthy
30,0,0,0,0,46.67,5589.2,0,healthy
